tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",DROSHA,29102,36,0,0.0,0,0.0,12,0.3333333333333333,1,0.0277777777777777,0,0.0,13,0.3611111111111111,13,0.3611111111111111,0,13,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",LIN28A,79727,36,0,0.0,0,0.0,0,0.0,28,0.7777777777777778,1,0.0277777777777777,29,0.8055555555555556,29,0.8055555555555556,0,29,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",LIN28B,389421,36,0,0.0,0,0.0,2,0.0555555555555555,24,0.6666666666666666,0,0.0,26,0.7222222222222222,26,0.7222222222222222,0,26,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",PRKRA,8575,36,0,0.0,0,0.0,7,0.1944444444444444,2,0.0555555555555555,0,0.0,9,0.25,9,0.25,0,9,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",SMAD2,4087,36,0,0.0,0,0.0,5,0.1388888888888889,13,0.3611111111111111,0,0.0,18,0.5,18,0.5,0,18,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",SMAD4,4089,36,0,0.0,0,0.0,5,0.1388888888888889,11,0.3055555555555556,1,0.0277777777777777,17,0.4722222222222222,17,0.4722222222222222,0,17,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",TARBP2,6895,36,0,0.0,1,0.0277777777777777,8,0.2222222222222222,3,0.0833333333333333,0,0.0,12,0.3333333333333333,12,0.3333333333333333,0,12,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",TP53,7157,36,4,0.1111111111111111,0,0.0,3,0.0833333333333333,13,0.3611111111111111,0,0.0,16,0.4444444444444444,16,0.4444444444444444,0,12,4
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",XPO5,57510,36,0,0.0,1,0.0277777777777777,9,0.25,3,0.0833333333333333,0,0.0,13,0.3611111111111111,13,0.3611111111111111,0,13,0
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",AGO1,26523,532,16,0.0300751879699248,0,0.0,23,0.0432330827067669,154,0.2894736842105263,1,0.0018796992481203,178,0.3345864661654135,192,0.3609022556390977,14,176,2
